대학 글쓰기 1,College Writing 1
대학 글쓰기 2: 인문학글쓰기,College Writing 2: Writing in Humanities
대학 글쓰기 2: 사회과학글쓰기,College Writing 2: Writing in Social Sciences
대학 글쓰기 2: 과학기술글쓰기,College Writing 2: Writing in Science & Technology
말하기와 토론,Speech and Debate
창의적 사고와 표현,Critical Thinking and Expression
논리와 비판적 사고,Logic and Critical Thinking
초급한국어,Elementary Korean
중급한국어 1,Intermediate Korean 1
중급한국어 2,Intermediate Korean 2
고급한국어,Advanced Korean
초급한문 1,Elementary Classical Chinese 1
초급한문 2,Elementary Classical Chinese 2
중급한문,Intermediate Classical Chinese
한문명작읽기,Readings in Classical Chinese Masterpieces
역사와 철학 한문원전읽기,Selected Classical Chinese Readings in History and Philosophy by Chinese and Korean Writers
초급중국어 1,Elementary Chinese 1
초급중국어 2,Elementary Chinese 2
중급중국어 1,Intermediate Chinese 1
중급중국어 2,Intermediate Chinese 2
중국어회화 1,Chinese Conversation 1
중국어회화 2,Chinese Conversation 2
미디어중국어,Media Chinese
대학영어 1,College English 1
대학영어 2: 글쓰기,College English 2: Writing
대학영어 2: 말하기,College English 2: Speaking
고급영어: 산문,Advanced English: Prose
고급영어: 학술작문,Advanced English: Academic Writing
고급영어: 영화,Advanced English: Exploring Film
고급영어: 연극,Advanced English: Drama Workshop
고급영어: 문화와 사회,Advanced English: Culture and Society
고급영어: 발표,Advanced English: Presentation
고급영어: 문학,Advanced English: Literature
기초영어,English Foundations
초급프랑스어 1,Elementary French 1
초급프랑스어 2,Elementary French 2
중급프랑스어 1,Intermediate French 1
중급프랑스어 2,Intermediate French 2
프랑스어 글쓰기,French Composition
프랑스어 말하기,French Conversation
시사프랑스어,Current French
초급독일어 1,Elementary German 1
초급독일어 2,Elementary German 2
중급독일어 1,Intermediate German 1
중급독일어 2,Intermediate German 2
독일어 글쓰기,German Composition
독문강독,Readings in German Texts
시사독일어,Contemporary German
초급러시아어 1,Elementary Russian 1
초급러시아어 2,Elementary Russian 2
중급러시아어 1,Intermediate Russian 1
중급러시아어 2,Intermediate Russian 2
러시아어 말하기,Russian Conversation
러시아어로 읽는 문화와 예술,Readings in Russian Culture and Art
시사 러시아어,Russian through Mass Media
초급스페인어 1,Elementary Spanish 1
