고급영어: 연극,조은경,23,Winter,5.0,"연극을 하는 수업이라기보단 '문학으로서의 희곡'을 분석하는 수업입니다. 크게 안티고네와 햄릿을 다루며,
- 집에서 미리 텍스트를 읽어오면
- 수업 시간에 내용 숙지했는지 확인하는 퀴즈를 보고 (총 4회)
- 해당 부분과 관련된 자유 주제로 개인 발표를 하고 (돌아가면서 1회)
- 준비해 오신 토의 주제를 놓고 팀별 스피킹 시간을 갖고
- 연극 영상을 (수업 시간에!) 감상하고 비평문을 제출하고 (총 2회)
- 연극을 하고 (1인극 1회, 팀별 1회)
- 시험을 봅니다. (중간, 기말)

즉, 희곡을 텍스트를 읽고, 공연을 관람하고, 공연을 하며 이해해가는 수업입니다. 연극을 하는 것도 이 과정의 일부일 뿐이라 비중이 크지 않으니 그걸 원하신다면 '연극과 감정 표현'을 수강하세요.

교수님은 아주 나긋나긋하고 조곤조곤하십니다. 영어 잘 못하는데도 (대영1 출신) 열심히 참여했더니 A+ 받았습니다. ""내용을 완벽히 이해하는 것이 아주 중요하니"" 책 열심히 읽고 비평문 신경 써서 쓰시면 좋은 점수 받을 수 있을 겁니다. 다만 성적을 잘 받은 게 제가 잘해서인지 원래 잘 주시는지 드랍자가 많아서인지는 (드랍 전 18명, 최종 8명, 드포인지 확실치 않음) 모르겠습니다."
고급영어: 연극,한예림,21,Spring,4.0,로드가 그렇게 빡센 편이 아니고 수업 자체는 흥미로워서 재밌게 들었습니다. 다만 조별 과제가 있어서인지 평가 기준이 모호하고 시험 점수를 알 수 없었다는게 좀 아쉬웠습니다.
고급영어: 연극,한예림,21,Spring,3.0,수업에서 다루는 작품 자체에 관심이 있다면 재미있게 들을 수 있는 강의입니다. 하지만 본인이 노력한 걸 교수님이 다 알아주진 않을 수 있다는 거…ㅋㅋㅋㅋㅋㅋ 교수님 말이 빠른 편이 아니라서 강의 내용 이해는 그렇게 어렵지 않습니다. 그런데 짧은 수업시간 내에 작품에 대한 깊은 해석을 해내길 요구하신다는 게 좀 부담 요소.
고급영어: 연극,한예림,21,Spring,5.0,"한 학기동안 로미오와 줄리엣 원전 읽었습니다!
수업 자체는 재미있고, 강의력이 나쁜 편은 아니시지만 처음에 현대영어에서는 쓰이지 않는 다른 단어들을 읽을 때 적응하기 힘드실 수도 있어요! 그래도 모른다고 하면 친절하게 설명해주시고 진도가 빠르지 않아서 따라가는데 어려움이 있을 정도는 아닙니다. 
시험도 난이도가 어렵지 않고 간단하게 공부하면 쉽사리 풀 수 있는 난이도로 나옵니다. 문제라면 기말때 보는 팀플 과제입니다. 이 학기에는 zoom theater를 했는데 이게 팀바이팀을 심하게 겪으니 주의하세요... 하지만 팀 사정을 고려해주시고 참작해주신 점수를 주셔서 팀플의 괴로움이 학점으로 미화된 느낌이 있습니다!"
고급영어: 연극,김다산,21,Spring,5.0,"내용: 재미있게 잘 들었습니다! 이번 학기는 비대면이라 희곡 분석 + 영화 adaptation과 original text의 비교를 중심으로 수업이 진행되었습니다. 욕망이라는 이름의 전차, 인형의 집 등 유명한 희곡들을 읽어보고, 분석하고, 영화로 어떻게 재창작되었는지 알아보는 것이 꽤나 흥미로웠습니다.
로드: 중간기말, 희곡 (총 6편 정도) 읽어오기, 발표 1번, 모놀로그 5분 녹화, 짧은 에세이 등 로드의 가짓수는 다양하지만 각 과제가 부담스러운 난이도/양은 아니었습니다. 
수업: 적극적인 수업 참여를 유도하십니다. 그렇지만 교수님께서 굉장히 친절하시고, 어떤 답변을 해도 잘 이해해주십니다. 사실 저는 고영 성적이 나오긴 했지만 영어에 막 자신있는 편은 아닌데, 천사 같은 교수님 덕분에 마음 놓고 편하게 참여할 수 있었습니다.
평가: (다들 드랍하셔서) 10명 조금 넘는 정원에 외국인 학생들과 원어민 영어 실력이신 분들까지 많아서 학점 걱정 많이 했습니다. 그렇지만 과제 제대로 다 내고 수업 열심히 참여해보려고 노력하니 a+ 나왔습니다!
고영 들으셔야 하는데 연극에 관심있다! 하시는 분들은 이 강의 추천합니다. 처음에는 줌으로 계속 토의해야 하는 것이 부담스러웠지만, 한 학기 동안 계속 하니 영어에 조금 자신감이 붙은 느낌이고 수강생들과도 친해졌습니다ㅎㅎ 비대면이었던 것이 무척 아쉬운 수업입니다"
고급영어: 연극,나은하,20,Spring,4.0,"극에 관심이 많으면 수강할만 함, 교수님 자체는 진짜 좋으심. 에세이 피드백도 꼼꼼하게 잘해주시고 되게 사람 좋으신데 성적을 막 후하게 주는 편은 아니신듯. 열심히 한 만큼? 딱 받는 거 같고 수업 시간에 말 많이 시키는데 어느 정도만 하면 수업시간 발표는 크게 고려안하시는 듯. 본인은 말은 그냥 적당히 시킬 때만 하고 에세이 두 번 열심히 써서 에제 받음"
고급영어: 연극,나은하,20,Spring,5.0,교수님 매우 친절하시고 수업 내용도 재밌어요! 로드는 다른 고영이랑 비슷한 것 같습니다.
고급영어: 연극,나은하,20,Spring,3.0,"원래 시험 두번이었는데 비대면으로 한번으로 줄음. 
영문과생이라 그런가 로드는 부담없었음. 읽는 희곡도 재밌음
중간에 미국에서 배우하시는 교수님 친구랑 화상으로 연기강습도함ㅋㅋㅋ 비대면이라 연극실습은 거의 못함 나중에 각자 하나 외워서 비디오 올리는 정도
사실 꼽자면 뭐하나 아쉬울 것 없는 강의지만 개인적으로 다들 너무 화상강의로 말을 안해서... 그 숨막히는 침묵을 못참고 맨날 답변 캐리하는 느낌이라 매 수업이 좀 힘들긴 했음 그러면서도 교수님은 어쩔수없이 말 안하던 사람이 얘기하면 반응을 더 잘해주시니께..ㅎ
암튼 교수님 귀엽고 영어 스피킹 잘 못해도 매우 너그러이 받아주심"
고급영어: 연극,Linda Yoon,21,Fall,4.0,연기 실력 상관없이 학점 괜찮게 주시고 학생 하나하나 다 챙겨주셔서 로드 빡센것 빼곤 매우 만족스러운 수업
고급영어: 연극,Linda Yoon,19,Spring,4.0,"다른 고영은 안들어봐서 잘 모르겠지만 고영 중에서도 로드가 세다고는 하네요. 발표1, 퀴즈2, 에세이4-5(자잘한것까지), 연극시연1 있습니다. 성적을 어떤 기준으로 주시는지 잘은 모르겠습니다. 절평기준 b+ 정도 받을거라 예상했는데 a0 나왔어요. 한 학기 갈아넣으실 수 있으신 분은 추천합니다. 소수정예라 수강생들끼리 엄청 친해질 수 있어요!"
고급영어: 연극,박여선,23,Fall,5.0,상당히 재미있는 수업입니다. 개인적으로는 영어 활용도 많이 하여 실력도 늘었고 성적도 만족스러웠습니다
고급영어: 연극,박여선,23,Fall,4.0,조바조가 큰 듯 합니다 팀을 잘 맞는 사람들로 만나면 즐겁게 연극 준비할 수 있을 거 같고 잘 안 맞으면 진짜 스트레스 받을 거 같긴해요 그래도 저는 나름 즐겁게 들었습니다
고급영어: 연극,박여선,23,Fall,3.0,"팀에 따라서 정말 많은게 달라진다.
중간기말 시험 대신 연극을 올려야 하는데 그 연극의 방향과 퀄리티가 본인 의지와 무관하게 결정될 가능성이 매우 높고.. 그에 따라 성적이 갈린다는 점이 굉장히 킹받음. 조를 잘못 만난건지 친해질 기회가 많은지도 딱히 모르겠음"
고급영어: 연극,박여선,23,Fall,4.0,"연극을 좋아하면 정말 재밌게 들을 수 있는 수업입니다
교수님께서 친절하십니다 
중간 기말 시험은 연극 시연으로 대체되어 로드가 없다시피하고 과제도 연극 리뷰 쓰기, 에세이 쓰기 정도가 끝입니다
점수도 후하게 주시고 피드백도 꼼꼼히 해주십니다"
고급영어: 연극,박여선,23,Fall,3.0,"중간기말 연극과 에세이 두번 발표 한번 그외 몇번의 과제 (팀플, 의견작성 등)
연극준비 및 팀플하면서 조원들과 친해질 수 있음 이 점은 매우 좋았음 영어 잘하시는 분들도 많이 만날 수 있어 좋았음
단 연극준비가 빡셈 연극준비 할빠에 차라리 시험보겠다 생각 들기도함 그래도 수업구성은 재미있음 고영치고는 로드도 나쁘지 않은편 성적은 너그롭지는 않으신듯 딱 맞춰서 주심
그래도 기억에 많이 남을 것 같은 대학강의다운 수업 
영어필교 치우는데에 나쁘지않다고 생각"
고급영어: 연극,박여선,22,Fall,5.0,"영어에세이 잘 못써도 중간기말 연기만 잘하면 A+ 가능한 수업.
그러나 연기에 들이는 인풋에 따라서 차라리 시험을 보고 말지 싶을 로드를 경험할 수도 있습니다."
고급영어: 연극,박여선,22,Fall,5.0,과제도 고영치곤 많지 않고 성적도 후하게 주십니다. 수업도 재밌어서 수업 가는게 기대가 될만큼 좋았어요. 수업 듣는 사람들이랑 엄청 친해져서 좋은 기억으로 남는 수업입니다!
고급영어: 연극,박여선,22,Fall,5.0,"지금까지 들어본 수업 중 가장 대학수업다운 강의,
같이 수강하는 정말 다양한 배경의 친구들과 친해질 기회도 많고, 기억에 정말 뚜렷하게 남아서 쭉 추억거리가 될 거 같은 강의"
고급영어: 연극,박여선,22,Fall,5.0,"내용이 알차고 재밌습니다!! 솔직히 수업에서 다루는 모든 내용을 이해하기에는 조금 어려움이 있지만(고영 연극이라는 수업 특성상 영어도 잘해야 하고, 연극에 대한 문학적 소양도 있어야 하다보니..) 희곡 텍스트를 읽고, 직접 써보기도 하고, 연극도 중간 기말 두번 올리면서 배우도 해볼 수 있어서 인상적인 경험을 할 수 있어요~ 리뷰나 에세이 쓰기 활동도 있어서 영어 글쓰기도 연습해볼 수 있습니다. 영어를 엄청 잘하지 않아도 어찌어찌 따라갈 수 있는 수업이니 고영을 들으셔야 한다면 도전해보셔도 나쁘지 않을 것 같아요:) 연극과 영어를 잘하는 조원들과 알게 되고 친해진 것도 너무 좋았어요"
고급영어: 연극,박여선,19,Spring,4.0,로드 많은데 열심히 하면 학점 잘 받아갈 수 있어요
고급영어: 연극,박여선,17,Spring,5.0,"중간 실기(조별) 기말 실기(조별) 기말 필기(오픈북)
(필기시험은 한 번인데 실기시험이 두 번 더 있음)
중간 에세이(공연리뷰) 기말 에세이(작품비평)
그 외 작품 읽어가는 것 포함 자잘한 과제들 있음.

연극 작품들 읽고 조원들끼리 직접 연기도 해 봄.
다루는 작품들도 흥미롭고 직접 연기해보는 경험도 좋았음.
7강의 들었는데 그 중에서 가장 재미있던 수업.
대학 강의 스러움."
고급영어: 연극,Raymond Salcedo,20,Spring,4.0,"다른 고영답게 로드는 정말 많지만ㅠㅠ  학점은 잘 주십니다.  중간고사, 기말고사 모두 비대면으로 진행되었고 (난이도 낮았어요) 보고서 2개, 발표 2개(조별), 그리고 연극까지 해야 돼서 쉽진 않지만... 평소 연극 같은거 좋아하시면 주제도 흥미롭고 교수님도 즐겁게 진행해주셔서 만족스러우실거에요! 좀 주의할 점은 교수님의 어떠한 정치적 사회적 성향을 많이 볼 수 있습니다..ㅎ... 불편하시면 비추..."
고급영어: 연극,Raymond Salcedo,20,Spring,5.0,"배울 것이 정말 많은 강의입니다. 교수님이 정말 박학다식하시고 깨어있는 분이고 여성, 계급, 인종 문제 등 다양한 주제를 다루셔서 생각할 거리가 많아지는 수업입니다. 수업을 듣는 학생 대부분이 원어민에 가까운 스피킹을 구사하는 분들이긴 했지만 스피킹을 못하더라도 전혀 문제 없습니다! 비록 로드도 많고 생각보다 학점이 잘 안 나오긴 했지만 그럼에도 다시 듣고 싶을 정도로 유익한 수업이었어요. 고영 들어야하는 분들에게 꼭 추천드리고 싶어요."
고급영어: 연극,Raymond Salcedo,20,Spring,1.0,자기주장이 강하셔서 그런지 학생들 배려를 세심히 못해주는 스타일이십니다.. 호불호 갈린다고 하던데 전 개인적으로 여러 모습에서 실망하여 극불호였습니다. (개인적 판단이라 자세히 말씀드리긴 뭐하지만) 스윗과는 거리가 머십니다 수업 자체도 로드도 많고 그에 비해 특별히 얻어가는 건 없고... 사실 왜 그렇게 호평받는 건지 이해가 잘 안되는 강의.. 선택지가 없는 게 아니라면 다른 고영 추천합니다
고급영어: 연극,Raymond Salcedo,20,Spring,5.0,"명강이에요.
교수님 정말 좋으시고 배워갈 것도 많습니다.
하지만 로드가 정말정말 많아요...
그리고 투자한 시간에 비해 학점이 짭니다...
이번 학기 학점 비율 없앴다고 들었는데도 그러네요 흑흑"
고급영어: 연극,Raymond Salcedo,19,Spring,5.0,다른 고영에 비교했을 때도 로드가 많은 고영이고 한학기 내내 여러 과제들을 하지만 한 학기 끝나고 봤을때 가장 배울것도 많고 재밌었던 강의
고급영어: 연극,Raymond Salcedo,18,Spring,5.0,로드가 좀 많긴 하지만 관악 최고의 명강. 조별과제나 연극 보러 다니는 것도 재밌었음.
고급영어: 연극,Raymond Salcedo,18,Spring,5.0,"다른 후기들 보니 역시 성적 후하게 주시네요. 에쁠 받았습니다. 다들 어디서 살다왔는지 영어 잘하는 사람들이 너무 많아서.. 걱정했는데 열심히 하면 점수는 잘주시는 것 같아요. 계절때 듣다가 드랍하고 다시 들었는데 계절과 정규학기 로드가 조금 다릅니다. 계절이 조금 더 널널합니다. 자세한 건 강계 확인하시면 될듯. 

정규학기 로드: 발표+에세이(4페이지 정도)+공연리뷰2(선택)+중간+기말+기말공연+대본창작(+수업참여)"
